id,latitude,longitude
28036,32.16111111,-86.27997222
28037,32.195,-86.11388889
28038,32.55638889,-85.89611111
28039,32.25811111,-86.35852778
28060,34.55586111,-86.58111111
28061,33.94177778,-86.41877778
28062,33.95925,-86.47005556
28063,34.03016667,-87.05102778
28064,34.02225,-86.70605556
28065,34.03730556,-87.00316667
28066,34.31816667,-86.50002778
28067,34.59838889,-87.03411111
28068,34.35541667,-87.05905556
28069,34.33841667,-86.75766667
7378,32.92777778,-86.21
7376,32.93044444,-85.90575
28561,32.46444444,-87.09444444
28562,32.82444444,-86.70944444
28563,32.99222222,-86.68027778
28564,32.77944444,-86.48722222
28565,32.02833333,-86.51611111
28566,32.25277778,-86.79222222
28571,32.44791667,-87.50555556
28572,32.265,-86.62
28573,32.86236111,-86.62833333
7327,32.81463889,-86.94602778
7326,32.58663889,-85.93008333
7325,32.71888889,-86.30555556
7303,32.81463889,-86.94602778
7302,32.48036111,-86.99988889
7301,31.955,-87.26527778
28574,32.1365,-86.60216667
28575,32.41602778,-86.988
28890,33.26858333,-87.13472222
28891,33.04027778,-87.45333333
28892,33.10844444,-87.68277778
28893,33.63444444,-87.16941667
28894,33.0175,-87.59177778
28895,33.5175,-87.65172222
28896,33.27544444,-87.74058333
28897,33.22052778,-87.20966667
20414,31.02344444,-87.66508333
7099,34.72730556,-87.66025
7097,34.87111111,-87.34388889
7096,34.63147222,-87.65225
7094,34.83583333,-87.62472222
1946,34.55538889,-85.82097222
7295,32.30666667,-87.37083333
7297,32.86236111,-86.62833333
1947,34.34433333,-86.02338889
1948,34.39466667,-85.60063889
1949,34.44358333,-85.93644444
1950,34.20030556,-85.78166667
1951,34.25519444,-85.84825
1952,34.67480556,-85.68969444
1954,33.90752778,-85.61694444
1955,34.94072222,-85.65827778
32568,32.56569444,-85.51577778
6186,32.51202778,-85.58738889
6184,32.40291667,-85.90411111
6183,31.19638889,-85.26166667
6180,31.83319444,-85.50597222
6178,31.56194444,-85.27833333
6177,32.14166667,-85.59666667
6175,31.88694444,-85.16419444
32569,32.69208333,-85.50938889
19160,34.28272222,-86.21966667
19159,34.66694444,-86.64333333
19158,34.77752778,-87.12213889
19157,34.95361111,-86.88361111
19156,34.63813889,-86.89986111
19155,34.69925,-86.25025
19154,34.37536111,-86.51886111
19153,34.91425,-86.59180556
19150,34.28272222,-86.21966667
19149,34.66694444,-86.64333333
19148,34.77752778,-87.12213889
